target,condition,lof_fraction,gof_fraction,neither_fraction,theoretical_lof_ceiling,insample_lof_cosine,signed_ceiling,achieved_heldout,frac_of_theoretical_ceiling,gof_locked_share
toward_Th1,Rest,0.3927,0.2535,0.3538,0.6267,0.6266,0.8066,0.4464,0.7124,0.2535
toward_Th1,Stim8hr,0.2741,0.2605,0.4654,0.5235,0.5235,0.7378,0.2927,0.5591,0.2605
toward_Th1,Stim48hr,0.284,0.263,0.4531,0.5329,0.5329,0.7473,0.2994,0.5618,0.263
toward_Th2,Rest,0.4132,0.2349,0.3519,0.6428,0.6428,0.808,0.4584,0.7131,0.2349
toward_Th2,Stim8hr,0.2884,0.2493,0.4623,0.537,0.537,0.7411,0.3038,0.5657,0.2493
toward_Th2,Stim48hr,0.2809,0.2607,0.4584,0.53,0.53,0.743,0.2586,0.4879,0.2607
toward_younger,Rest,0.3921,0.2179,0.39,0.6262,0.6262,0.7854,0.4008,0.6401,0.2179
toward_younger,Stim8hr,0.3463,0.2279,0.4258,0.5885,0.5885,0.7633,0.3495,0.5939,0.2279
toward_younger,Stim48hr,0.3564,0.2316,0.412,0.597,0.597,0.7738,0.3629,0.6079,0.2316
toward_older,Rest,0.3557,0.2487,0.3956,0.5964,0.5964,0.7806,0.3902,0.6543,0.2487
toward_older,Stim8hr,0.348,0.2262,0.4258,0.5899,0.5899,0.7629,0.3618,0.6133,0.2262
toward_older,Stim48hr,0.3206,0.2549,0.4245,0.5662,0.5662,0.7629,0.3309,0.5844,0.2549
