rank,gene,pi,pi_ci_lo,pi_ci_hi,weight_mult_lo,weight_mult_med,weight_mult_hi,weak_instrument
1,ATF7IP2,0.928,0.768,0.997,1.003,1.058,1.303,False
2,FBXO32,0.517,0.284,0.749,1.334,1.92,3.526,False
3,RARA,0.462,0.221,0.699,1.43,2.168,4.515,False
4,HPS1,0.869,0.675,0.981,1.019,1.132,1.482,False
5,KIF5B,0.441,0.215,0.678,1.474,2.287,4.659,False
6,GORASP2,0.814,0.603,0.957,1.045,1.207,1.657,False
7,HEXIM1,0.713,0.481,0.902,1.108,1.379,2.079,False
8,FKBP14,0.887,0.699,0.986,1.014,1.109,1.431,False
9,KLHL6,0.801,0.586,0.953,1.05,1.226,1.708,False
10,BICD1,0.945,0.789,0.999,1.001,1.04,1.267,False
