target,condition,verdict,reachable_cosine,residual_norm,lof_fraction,gof_fraction,neither_fraction,signed_cosine,heldout_cosine,heldout_z,n_heldout_shuffles,lof_support_size,gof_support_size,n_readout,n_generators,kkt_viol
toward_Th1,Rest,PARTIALLY REACHABLE,0.6266,0.7793,0.3927,0.2535,0.3538,0.8066,0.4464,45.0,8,715,1335,6188,6871,1.0e-11
toward_Th1,Stim8hr,WEAKLY REACHABLE,0.5235,0.852,0.2741,0.2605,0.4654,0.7378,0.2927,12.7,8,713,1246,6188,7155,4.9e-12
toward_Th1,Stim48hr,WEAKLY REACHABLE,0.5329,0.8462,0.284,0.263,0.4531,0.7473,0.2994,21.8,8,793,1332,6188,7195,1.1e-11
toward_Th2,Rest,PARTIALLY REACHABLE,0.6428,0.766,0.4132,0.2349,0.3519,0.808,0.4584,20.9,8,786,1308,6188,6871,1.0e-11
toward_Th2,Stim8hr,WEAKLY REACHABLE,0.537,0.8436,0.2884,0.2493,0.4623,0.7411,0.3038,20.4,8,760,1252,6188,7155,1.0e-11
toward_Th2,Stim48hr,WEAKLY REACHABLE,0.53,0.848,0.2809,0.2607,0.4584,0.743,0.2586,12.6,8,797,1264,6188,7195,1.1e-11
toward_younger,Rest,PARTIALLY REACHABLE,0.6262,0.7797,0.3921,0.2179,0.39,0.7854,0.4008,9.0,8,764,1201,6014,6871,5.1e-12
toward_younger,Stim8hr,WEAKLY REACHABLE,0.5885,0.8085,0.3463,0.2279,0.4258,0.7633,0.3495,4.7,8,813,1202,6014,7155,6.2e-12
toward_younger,Stim48hr,WEAKLY REACHABLE,0.597,0.8022,0.3564,0.2316,0.412,0.7738,0.3629,5.7,8,852,1239,6014,7195,5.6e-12
toward_older,Rest,WEAKLY REACHABLE,0.5964,0.8027,0.3557,0.2487,0.3956,0.7806,0.3902,14.3,8,651,1253,6014,6871,2.9e-12
toward_older,Stim8hr,WEAKLY REACHABLE,0.5899,0.8075,0.348,0.2262,0.4258,0.7629,0.3618,11.5,8,664,1197,6014,7155,1.0e-11
toward_older,Stim48hr,WEAKLY REACHABLE,0.5662,0.8242,0.3206,0.2549,0.4245,0.7629,0.3309,6.9,8,721,1291,6014,7195,3.7e-12
