condition,driver_group,gene,effect_norm,norm_rank,norm_percentile,cone_weight,cone_weight_rank,in_cone_recipe
Rest,Th1,TBX21,91.33813504041974,1189,82.70994032891863,0.0,,False
Rest,Th1,STAT4,85.5834031135293,2042,70.2954446223257,0.0,,False
Rest,Th1,STAT1,82.94133833164774,2615,61.956047154708195,0.0,,False
Rest,Th1,IL12RB2,106.94150560375843,379,94.49861737738321,0.0,,False
Rest,Th1,RUNX3,84.75751374049113,2215,67.7776160675302,0.0,,False
Rest,Th2,GATA3,132.53412023472268,85,98.77747052830738,0.06134347130847826,116.0,True
Rest,Th2,STAT6,80.7244844508919,3291,52.117595692038996,0.0,,False
Rest,Th2,IL4R,74.05976923293538,5747,16.373162567311894,0.0,,False
Rest,Th2,BATF,108.83843089107052,333,95.16809780235774,0.0,,False
Rest,Th2,MAF,82.81303488990332,2642,61.563091253092715,0.0,,False
Stim8hr,Th1,TBX21,106.7439437405755,479,93.319357092942,0.0,,False
Stim8hr,Th1,STAT4,84.81802551798214,2213,69.08455625436758,0.0,,False
Stim8hr,Th1,STAT1,88.80777552774622,1526,78.68623340321453,0.0,,False
Stim8hr,Th1,IL12RB2,122.39952259832116,222,96.91125087351502,0.0,,False
Stim8hr,Th1,RUNX3,81.04582628334497,3284,54.116002795248086,0.0,,False
Stim8hr,Th1,IFNG,77.94915772425293,4560,36.28232005590496,0.0,,False
Stim8hr,Th2,GATA3,140.32564114542225,120,98.33682739343116,0.0,,False
Stim8hr,Th2,STAT6,104.91559733527201,520,92.74633123689728,0.0,,False
Stim8hr,Th2,IL4R,102.40542205726295,593,91.72606568832984,0.0,,False
Stim8hr,Th2,BATF,121.94280587636247,226,96.85534591194968,0.0,,False
Stim8hr,Th2,IRF4,118.20166500765768,270,96.24039133473096,0.0,,False
Stim8hr,Th2,MAF,84.17353773766546,2351,67.15583508036337,0.0,,False
Stim48hr,Th1,TBX21,112.29523845115699,315,95.63585823488535,0.0,,False
Stim48hr,Th1,STAT4,87.71995377023585,1828,74.60736622654622,0.0,,False
Stim48hr,Th1,STAT1,82.62643817155512,3080,57.206393328700486,0.0,,False
Stim48hr,Th1,IL12RB2,106.22945766208818,437,93.9402362751911,0.0,,False
Stim48hr,Th2,GATA3,141.66509692171672,73,98.99930507296733,0.0,,False
Stim48hr,Th2,STAT6,134.87892193766118,99,98.63794301598332,0.0,,False
Stim48hr,Th2,IL4R,123.29656225815484,181,97.49826268241834,0.04808123262989473,180.0,True
Stim48hr,Th2,IL4,80.7530363216452,3708,48.47810979847116,0.0,,False
Stim48hr,Th2,BATF,117.67961714818989,230,96.81723419041,0.0,,False
Stim48hr,Th2,MAF,99.97336405182224,662,90.81306462821404,0.0,,False
