target,cond,cos_itt,cos_valid,delta,n_drop,n_full,kkt,pct_drop
Th1,Rest,0.6266290274312786,0.6263935129187906,-0.0002355145124879332,10,6871,3.135253242007053e-11,0.14553922282055015
Th1,Stim48hr,0.5328836947832118,0.5328836947832118,0.0,6,7195,1.054196725679543e-11,0.08339124391938846
Th1,Stim8hr,0.5235240543878785,0.5235240543878783,-2.220446049250313e-16,6,7155,1.2402922741694544e-11,0.08385744234800839
Th2,Rest,0.6428176245552623,0.6427823714045194,-3.525315074281998e-05,10,6871,1.048689278609447e-11,0.14553922282055015
Th2,Stim48hr,0.5299676411768143,0.5298022846916313,-0.00016535648518301027,6,7195,1.135577421558271e-11,0.08339124391938846
Th2,Stim8hr,0.5369907235618406,0.5369907235618406,0.0,6,7155,1.0094371677615485e-11,0.08385744234800839
older,Rest,0.5963882768571203,0.5963882768571203,0.0,10,6871,3.211144620408125e-12,0.14553922282055015
older,Stim48hr,0.5662342507172752,0.5662342507172752,0.0,6,7195,3.897965587041695e-12,0.08339124391938846
older,Stim8hr,0.5898741884012565,0.5898741884012564,-1.1102230246251565e-16,6,7155,1.0304980157465111e-11,0.08385744234800839
younger,Rest,0.6261701403110038,0.6257937030879274,-0.00037643722307645344,10,6871,8.678140614768491e-12,0.14553922282055015
younger,Stim48hr,0.5970152091936841,0.5970058424163256,-9.366777358521539e-06,6,7195,5.5836091693961504e-12,0.08339124391938846
younger,Stim8hr,0.5884804039690821,0.5884804039690821,0.0,6,7155,6.1993981893620795e-12,0.08385744234800839
