rank,gene,target_zscore,unmet_upward_demand
1,LYAR,31.278054432684705,20.943022457831024
2,IKZF3,22.014578033621277,20.444158330584596
3,TMEM62,25.374226515724455,20.357010356401787
4,CRTAM,13.659790399247948,19.97507134703316
5,STOM,30.475074604517246,18.33026452782378
6,PLCB1,17.28534942293361,17.192885520295157
7,CBLB,23.443942889364305,16.376624833313652
8,GBP5,25.458028896107106,15.582188113326572
9,PPP2R2B,18.322222925755447,14.069346836051588
10,LAG3,18.582602797683663,13.563392494047406
11,SAMD3,14.556856325288054,12.975027701669909
12,ARHGAP26,15.95618108417854,12.798509943215029
13,RAB34,9.180736023514797,12.594717252899631
14,DNAJC1,17.51836569762356,12.515142328708858
15,TRPS1,17.620699044275543,12.415058279541713
16,DTHD1,11.672499509991871,11.907712581853982
17,ITGA4,14.365290045295229,11.56357170154913
18,MYBL1,11.912282032209957,11.293165112760615
19,ENC1,10.489829803144511,11.174743210494816
20,RASGEF1A,8.449741838930528,11.166478475795609
21,IRF8,13.645514548096482,11.051817013568575
22,ZNF532,9.19666589134499,11.033715208249513
23,SNTB2,7.80459388883109,10.790150878538686
24,NCALD,15.001229625308904,10.785158583500614
25,CDKN2C,11.351970724783742,10.782727757871683
26,IGFBP4,8.312344687858024,10.773327807060571
27,LUZP1,17.167349940368617,10.689134592252437
28,GZMA,19.767320055512165,10.47627943342069
29,E2F3,13.715274601938704,10.3828849903757
30,DHRS3,9.629843894427449,10.311306107460416
